Pokemon,Type,Height,Weight,Abilities,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Simplified Type,image_path
Spectrier,['Ghost'],2.0,44.5,['Grim Neigh'],100,310,404,65,121,251,60,112,240,145,265,427,80,148,284,130,238,394,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Spectrier/Spectrier.png
Spewpa,['Bug'],0.3,8.4,"['Shed Skin, Friend Guard (hidden ability)']",45,200,294,22,44,157,60,112,240,27,53,168,30,58,174,29,56,172,Bug,/content/Pokemon Images DB/Pokemon Images DB/Spewpa/Spewpa.png
Spheal,"['Ice', 'Water']",0.8,39.5,"['Thick Fat', 'Ice Body, Oblivious (hidden ability)']",70,250,344,40,76,196,50,94,218,55,103,229,50,94,218,25,49,163,Ice,/content/Pokemon Images DB/Pokemon Images DB/Spheal/Spheal.png
Spidops,['Bug'],1.0,16.5,"['Insomnia, Stakeout (hidden ability)']",60,230,324,79,146,282,92,170,311,52,98,223,86,159,298,35,67,185,Bug,/content/Pokemon Images DB/Pokemon Images DB/Spidops/Spidops.png
Spinarak,"['Bug', 'Poison']",0.5,8.5,"['Swarm', 'Insomnia, Sniper (hidden ability)']",40,190,284,60,112,240,40,76,196,40,76,196,40,76,196,30,58,174,Bug,/content/Pokemon Images DB/Pokemon Images DB/Spinarak/Spinarak.png
Spinda,['Normal'],1.1,5.0,"['Own Tempo', 'Tangled Feet, Contrary (hidden ability)']",60,230,324,60,112,240,60,112,240,60,112,240,60,112,240,60,112,240,Normal,/content/Pokemon Images DB/Pokemon Images DB/Spinda/Spinda.png
Spiritomb,"['Ghost', 'Dark']",1.0,108.0,"['Pressure, Infiltrator (hidden ability)']",50,210,304,92,170,311,108,198,346,92,170,311,108,198,346,35,67,185,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Spiritomb/Spiritomb.png
Spoink,['Psychic'],0.7,30.6,"['Thick Fat', 'Own Tempo, Gluttony (hidden ability)']",60,230,324,25,49,163,35,67,185,70,130,262,80,148,284,60,112,240,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Spoink/Spoink.png
Sprigatito,['Grass'],0.4,4.1,"['Overgrow, Protean (hidden ability)']",40,190,284,61,114,243,54,101,227,45,85,207,45,85,207,65,121,251,Grass,/content/Pokemon Images DB/Pokemon Images DB/Sprigatito/Sprigatito.png
Spritzee,['Fairy'],0.2,0.5,"['Healer, Aroma Veil (hidden ability)']",78,266,360,52,98,223,60,112,240,63,117,247,65,121,251,23,45,159,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Spritzee/Spritzee.png
Squawkabilly Green Plumage,"['Normal', 'Flying']",0.6,2.4,"['Intimidate', 'Hustle, Guts (hidden ability)']",82,274,368,96,177,320,51,96,221,45,85,207,51,96,221,92,170,311,Normal,/content/Pokemon Images DB/Pokemon Images DB/Squawkabilly (Green Plumage)/Squawkabilly (Green Plumage).png
Squirtle,['Water'],0.5,9.0,"['Torrent, Rain Dish (hidden ability)']",44,198,292,48,90,214,65,121,251,50,94,218,64,119,249,43,81,203,Water,/content/Pokemon Images DB/Pokemon Images DB/Squirtle/Squirtle.png
Stakataka,"['Rock', 'Steel']",5.5,820.0,['Beast Boost'],61,232,326,131,240,397,211,384,573,53,99,225,101,186,331,13,27,137,Rock,/content/Pokemon Images DB/Pokemon Images DB/Stakataka/Stakataka.png
Stantler,['Normal'],1.4,71.2,"['Intimidate', 'Frisk, Sap Sipper (hidden ability)']",73,256,350,95,175,317,62,116,245,85,157,295,65,121,251,85,157,295,Normal,/content/Pokemon Images DB/Pokemon Images DB/Stantler/Stantler.png
Staraptor,"['Normal', 'Flying']",1.2,24.9,"['Intimidate, Reckless (hidden ability)']",85,280,374,120,220,372,70,130,262,50,94,218,60,112,240,100,184,328,Normal,/content/Pokemon Images DB/Pokemon Images DB/Staraptor/Staraptor.png
Staravia,"['Normal', 'Flying']",0.6,15.5,"['Intimidate, Reckless (hidden ability)']",55,220,314,75,139,273,50,94,218,40,76,196,40,76,196,80,148,284,Normal,/content/Pokemon Images DB/Pokemon Images DB/Staravia/Staravia.png
Starly,"['Normal', 'Flying']",0.3,2.0,"['Keen Eye, Reckless (hidden ability)']",40,190,284,55,103,229,30,58,174,30,58,174,30,58,174,60,112,240,Normal,/content/Pokemon Images DB/Pokemon Images DB/Starly/Starly.png
Starmie,"['Water', 'Psychic']",1.1,80.0,"['Illuminate', 'Natural Cure, Analytic (hidden ability)']",60,230,324,75,139,273,85,157,295,100,184,328,85,157,295,115,211,361,Water,/content/Pokemon Images DB/Pokemon Images DB/Starmie/Starmie.png
Staryu,['Water'],0.8,34.5,"['Illuminate', 'Natural Cure, Analytic (hidden ability)']",30,170,264,45,85,207,55,103,229,70,130,262,55,103,229,85,157,295,Water,/content/Pokemon Images DB/Pokemon Images DB/Staryu/Staryu.png
Steelix,"['Steel', 'Ground']",9.2,400.0,"['Rock Head', 'Sturdy, Sheer Force (hidden ability)']",75,260,354,85,157,295,200,364,548,55,103,229,65,121,251,30,58,174,Steel,/content/Pokemon Images DB/Pokemon Images DB/Steelix/Steelix.png
Mega Steelix,"['Steel', 'Ground']",10.5,740.0,['Sand Force'],75,260,354,125,229,383,230,418,614,55,103,229,95,175,317,30,58,174,Steel,/content/Pokemon Images DB/Pokemon Images DB/Mega Steelix/Mega Steelix.png
Steenee,['Grass'],0.7,8.2,"['Leaf Guard', 'Oblivious, Sweet Veil (hidden ability)']",52,214,308,40,76,196,48,90,214,40,76,196,48,90,214,62,116,245,Grass,/content/Pokemon Images DB/Pokemon Images DB/Steenee/Steenee.png
Stonjourner,['Rock'],2.5,520.0,['Power Spot'],100,310,404,125,229,383,135,247,405,20,40,152,20,40,152,70,130,262,Rock,/content/Pokemon Images DB/Pokemon Images DB/Stonjourner/Stonjourner.png
Stoutland,['Normal'],1.2,61.0,"['Intimidate', 'Sand Rush, Scrappy (hidden ability)']",85,280,374,110,202,350,90,166,306,45,85,207,90,166,306,80,148,284,Normal,/content/Pokemon Images DB/Pokemon Images DB/Stoutland/Stoutland.png
Stufful,"['Normal', 'Fighting']",0.5,6.8,"['Fluffy', 'Klutz, Cute Charm (hidden ability)']",70,250,344,75,139,273,50,94,218,45,85,207,50,94,218,50,94,218,Normal,/content/Pokemon Images DB/Pokemon Images DB/Stufful/Stufful.png
Stunfisk,"['Ground', 'Electric']",0.7,11.0,"['Static', 'Limber, Sand Veil (hidden ability)']",109,328,422,66,123,254,84,155,293,81,150,287,99,182,326,32,62,179,Ground,/content/Pokemon Images DB/Pokemon Images DB/Stunfisk/Stunfisk.png
Galarian Stunfisk,"['Ground', 'Steel']",0.7,20.5,['Mimicry'],109,328,422,81,150,287,99,182,326,66,123,254,84,155,293,32,62,179,Ground,/content/Pokemon Images DB/Pokemon Images DB/Galarian Stunfisk/Galarian Stunfisk.png
Stunky,"['Poison', 'Dark']",0.4,19.2,"['Stench', 'Aftermath, Keen Eye (hidden ability)']",63,236,330,63,117,247,47,89,212,41,78,199,41,78,199,74,137,271,Poison,/content/Pokemon Images DB/Pokemon Images DB/Stunky/Stunky.png
Sudowoodo,['Rock'],1.2,38.0,"['Sturdy', 'Rock Head, Rattled (hidden ability)']",70,250,344,100,184,328,115,211,361,30,58,174,65,121,251,30,58,174,Rock,/content/Pokemon Images DB/Pokemon Images DB/Sudowoodo/Sudowoodo.png
Suicune,['Water'],2.0,187.0,"['Pressure, Inner Focus (hidden ability)']",100,310,404,75,139,273,115,211,361,90,166,306,115,211,361,85,157,295,Water,/content/Pokemon Images DB/Pokemon Images DB/Suicune/Suicune.png
Sunflora,['Grass'],0.8,8.5,"['Chlorophyll', 'Solar Power, Early Bird (hidden ability)']",75,260,354,75,139,273,55,103,229,105,193,339,85,157,295,30,58,174,Grass,/content/Pokemon Images DB/Pokemon Images DB/Sunflora/Sunflora.png
Sunkern,['Grass'],0.3,1.8,"['Chlorophyll', 'Solar Power, Early Bird (hidden ability)']",30,170,264,30,58,174,30,58,174,30,58,174,30,58,174,30,58,174,Grass,/content/Pokemon Images DB/Pokemon Images DB/Sunkern/Sunkern.png
Surskit,"['Bug', 'Water']",0.5,1.7,"['Swift Swim, Rain Dish (hidden ability)']",40,190,284,30,58,174,32,62,179,50,94,218,52,98,223,65,121,251,Bug,/content/Pokemon Images DB/Pokemon Images DB/Surskit/Surskit.png
Swablu,"['Normal', 'Flying']",0.4,1.2,"['Natural Cure, Cloud Nine (hidden ability)']",45,200,294,40,76,196,60,112,240,40,76,196,75,139,273,50,94,218,Normal,/content/Pokemon Images DB/Pokemon Images DB/Swablu/Swablu.png
Swadloon,"['Bug', 'Grass']",0.5,7.3,"['Leaf Guard', 'Chlorophyll, Overcoat (hidden ability)']",55,220,314,63,117,247,90,166,306,50,94,218,80,148,284,42,80,201,Bug,/content/Pokemon Images DB/Pokemon Images DB/Swadloon/Swadloon.png
Swalot,['Poison'],1.7,80.0,"['Liquid Ooze', 'Sticky Hold, Gluttony (hidden ability)']",100,310,404,73,135,269,83,153,291,73,135,269,83,153,291,55,103,229,Poison,/content/Pokemon Images DB/Pokemon Images DB/Swalot/Swalot.png
Swampert,"['Water', 'Ground']",1.5,81.9,"['Torrent, Damp (hidden ability)']",100,310,404,110,202,350,90,166,306,85,157,295,90,166,306,60,112,240,Water,/content/Pokemon Images DB/Pokemon Images DB/Swampert/Swampert.png
Mega Swampert,"['Water', 'Ground']",1.9,102.0,['Swift Swim'],100,310,404,150,274,438,110,202,350,95,175,317,110,202,350,70,130,262,Water,/content/Pokemon Images DB/Pokemon Images DB/Mega Swampert/Mega Swampert.png
Swanna,"['Water', 'Flying']",1.3,24.2,"['Keen Eye', 'Big Pecks, Hydration (hidden ability)']",75,260,354,87,161,300,63,117,247,87,161,300,63,117,247,98,180,324,Water,/content/Pokemon Images DB/Pokemon Images DB/Swanna/Swanna.png
Swellow,"['Normal', 'Flying']",0.7,19.8,"['Guts, Scrappy (hidden ability)']",60,230,324,85,157,295,60,112,240,75,139,273,50,94,218,125,229,383,Normal,/content/Pokemon Images DB/Pokemon Images DB/Swellow/Swellow.png
Swinub,"['Ice', 'Ground']",0.4,6.5,"['Oblivious', 'Snow Cloak, Thick Fat (hidden ability)']",50,210,304,50,94,218,40,76,196,30,58,174,30,58,174,50,94,218,Ice,/content/Pokemon Images DB/Pokemon Images DB/Swinub/Swinub.png
Swirlix,['Fairy'],0.4,3.5,"['Sweet Veil, Unburden (hidden ability)']",62,234,328,48,90,214,66,123,254,59,110,238,57,107,234,49,92,216,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Swirlix/Swirlix.png
Swoobat,"['Psychic', 'Flying']",0.9,10.5,"['Unaware', 'Klutz, Simple (hidden ability)']",67,244,338,57,107,234,55,103,229,77,143,278,55,103,229,114,209,359,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Swoobat/Swoobat.png
Sylveon,['Fairy'],1.0,23.5,"['Cute Charm, Pixilate (hidden ability)']",95,300,394,65,121,251,65,121,251,110,202,350,130,238,394,60,112,240,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Sylveon/Sylveon.png
Tadbulb,['Electric'],0.3,0.4,"['Own Tempo', 'Static, Damp (hidden ability)']",61,232,326,31,60,177,41,78,199,59,110,238,35,67,185,45,85,207,Electric,/content/Pokemon Images DB/Pokemon Images DB/Tadbulb/Tadbulb.png
Taillow,"['Normal', 'Flying']",0.3,2.3,"['Guts, Scrappy (hidden ability)']",40,190,284,55,103,229,30,58,174,30,58,174,30,58,174,85,157,295,Normal,/content/Pokemon Images DB/Pokemon Images DB/Taillow/Taillow.png
Talonflame,"['Fire', 'Flying']",1.2,24.5,"['Flame Body, Gale Wings (hidden ability)']",78,266,360,81,150,287,71,132,265,74,137,271,69,128,260,126,231,386,Fire,/content/Pokemon Images DB/Pokemon Images DB/Talonflame/Talonflame.png
Tandemaus,['Normal'],0.3,1.8,"['Run Away', 'Pickup, Own Tempo (hidden ability)']",50,210,304,50,94,218,45,85,207,40,76,196,45,85,207,75,139,273,Normal,/content/Pokemon Images DB/Pokemon Images DB/Tandemaus/Tandemaus.png
Tangela,['Grass'],1.0,35.0,"['Chlorophyll', 'Leaf Guard, Regenerator (hidden ability)']",65,240,334,55,103,229,115,211,361,100,184,328,40,76,196,60,112,240,Grass,/content/Pokemon Images DB/Pokemon Images DB/Tangela/Tangela.png
Tangrowth,['Grass'],2.0,128.6,"['Chlorophyll', 'Leaf Guard, Regenerator (hidden ability)']",100,310,404,100,184,328,125,229,383,110,202,350,50,94,218,50,94,218,Grass,/content/Pokemon Images DB/Pokemon Images DB/Tangrowth/Tangrowth.png
Tapu Bulu,"['Grass', 'Fairy']",1.9,45.5,"['Grassy Surge, Telepathy (hidden ability)']",70,250,344,130,238,394,115,211,361,85,157,295,95,175,317,75,139,273,Grass,/content/Pokemon Images DB/Pokemon Images DB/Tapu Bulu/Tapu Bulu.png
Tapu Fini,"['Water', 'Fairy']",1.3,21.2,"['Misty Surge, Telepathy (hidden ability)']",70,250,344,75,139,273,115,211,361,95,175,317,130,238,394,85,157,295,Water,/content/Pokemon Images DB/Pokemon Images DB/Tapu Fini/Tapu Fini.png
Tapu Koko,"['Electric', 'Fairy']",1.8,20.5,"['Electric Surge, Telepathy (hidden ability)']",70,250,344,115,211,361,85,157,295,95,175,317,75,139,273,130,238,394,Electric,/content/Pokemon Images DB/Pokemon Images DB/Tapu Koko/Tapu Koko.png
Tapu Lele,"['Psychic', 'Fairy']",1.2,18.6,"['Psychic Surge, Telepathy (hidden ability)']",70,250,344,85,157,295,75,139,273,130,238,394,115,211,361,95,175,317,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Tapu Lele/Tapu Lele.png
Tarountula,['Bug'],0.3,4.0,"['Insomnia, Stakeout (hidden ability)']",35,180,274,41,78,199,45,85,207,29,56,172,40,76,196,20,40,152,Bug,/content/Pokemon Images DB/Pokemon Images DB/Tarountula/Tarountula.png
Tatsugiri Curly Form,"['Dragon', 'Water']",0.3,8.0,"['Commander, Storm Drain (hidden ability)']",68,246,340,50,94,218,60,112,240,120,220,372,95,175,317,82,152,289,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Tatsugiri (Curly Form)/Tatsugiri (Curly Form).png
Tatsugiri Droopy Form,"['Dragon', 'Water']",0.3,8.0,['—'],68,246,340,50,94,218,60,112,240,120,220,372,95,175,317,82,152,289,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Tatsugiri (Droopy Form)/Tatsugiri (Droopy Form).png
Tatsugiri Stretchy Form,"['Dragon', 'Water']",0.3,8.0,['—'],68,246,340,50,94,218,60,112,240,120,220,372,95,175,317,82,152,289,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Tatsugiri (Stretchy Form)/Tatsugiri (Stretchy Form).png
Tauros,['Normal'],1.4,88.4,"['Intimidate', 'Anger Point, Sheer Force (hidden ability)']",75,260,354,100,184,328,95,175,317,40,76,196,70,130,262,110,202,350,Normal,/content/Pokemon Images DB/Pokemon Images DB/Tauros/Tauros.png
Tauros Combat Breed,['Fighting'],1.4,115.0,"['Intimidate', 'Anger Point, Cud Chew (hidden ability)']",75,260,354,110,202,350,105,193,339,30,58,174,70,130,262,100,184,328,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Tauros (Combat Breed)/Tauros (Combat Breed).png
Tauros Blaze Breed,"['Fighting', 'Fire']",1.4,85.0,"['Intimidate', 'Anger Point, Cud Chew (hidden ability)']",75,260,354,110,202,350,105,193,339,30,58,174,70,130,262,100,184,328,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Tauros (Blaze Breed)/Tauros (Blaze Breed).png
Tauros Aqua Breed,"['Fighting', 'Water']",1.4,110.0,"['Intimidate', 'Anger Point, Cud Chew (hidden ability)']",75,260,354,110,202,350,105,193,339,30,58,174,70,130,262,100,184,328,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Tauros (Aqua Breed)/Tauros (Aqua Breed).png
Teddiursa,['Normal'],0.6,8.8,"['Pickup', 'Quick Feet, Honey Gather (hidden ability)']",60,230,324,80,148,284,50,94,218,50,94,218,50,94,218,40,76,196,Normal,/content/Pokemon Images DB/Pokemon Images DB/Teddiursa/Teddiursa.png
Tentacool,"['Water', 'Poison']",0.9,45.5,"['Clear Body', 'Liquid Ooze, Rain Dish (hidden ability)']",40,190,284,40,76,196,35,67,185,50,94,218,100,184,328,70,130,262,Water,/content/Pokemon Images DB/Pokemon Images DB/Tentacool/Tentacool.png
Tentacruel,"['Water', 'Poison']",1.6,55.0,"['Clear Body', 'Liquid Ooze, Rain Dish (hidden ability)']",80,270,364,70,130,262,65,121,251,80,148,284,120,220,372,100,184,328,Water,/content/Pokemon Images DB/Pokemon Images DB/Tentacruel/Tentacruel.png
Tepig,['Fire'],0.5,9.9,"['Blaze, Thick Fat (hidden ability)']",65,240,334,63,117,247,45,85,207,45,85,207,45,85,207,45,85,207,Fire,/content/Pokemon Images DB/Pokemon Images DB/Tepig/Tepig.png
Terapagos Normal Form,['Normal'],0.2,6.5,['Tera Shift'],90,290,384,65,121,251,85,157,295,65,121,251,85,157,295,60,112,240,Normal,/content/Pokemon Images DB/Pokemon Images DB/Terapagos (Normal Form)/Terapagos (Normal Form).png
Terapagos Terastal Form,['Normal'],0.3,16.0,['Tera Shell'],95,300,394,95,175,317,110,202,350,105,193,339,110,202,350,85,157,295,Normal,/content/Pokemon Images DB/Pokemon Images DB/Terapagos (Terastal Form)/Terapagos (Terastal Form).png
Terrakion,"['Rock', 'Fighting']",1.9,260.0,['Justified'],91,292,386,129,236,392,90,166,306,72,134,267,90,166,306,108,198,346,Rock,/content/Pokemon Images DB/Pokemon Images DB/Terrakion/Terrakion.png
Thievul,['Dark'],1.2,19.9,"['Run Away', 'Unburden, Stakeout (hidden ability)']",70,250,344,58,108,236,58,108,236,87,161,300,92,170,311,90,166,306,Dark,/content/Pokemon Images DB/Pokemon Images DB/Thievul/Thievul.png
Throh,['Fighting'],1.3,55.5,"['Guts', 'Inner Focus, Mold Breaker (hidden ability)']",120,350,444,100,184,328,85,157,295,30,58,174,85,157,295,45,85,207,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Throh/Throh.png
Thundurus Incarnate Forme,"['Electric', 'Flying']",1.5,61.0,"['Prankster, Defiant (hidden ability)']",79,268,362,115,211,361,70,130,262,125,229,383,80,148,284,111,204,353,Electric,/content/Pokemon Images DB/Pokemon Images DB/Thundurus (Incarnate Forme)/Thundurus (Incarnate Forme).png
Thundurus Therian Forme,"['Electric', 'Flying']",3.0,61.0,['Volt Absorb'],79,268,362,105,193,339,70,130,262,145,265,427,80,148,284,101,186,331,Electric,/content/Pokemon Images DB/Pokemon Images DB/Thundurus (Therian Forme)/Thundurus (Therian Forme).png
Thwackey,['Grass'],0.7,14.0,"['Overgrow, Grassy Surge (hidden ability)']",70,250,344,85,157,295,70,130,262,55,103,229,60,112,240,80,148,284,Grass,/content/Pokemon Images DB/Pokemon Images DB/Thwackey/Thwackey.png
Timburr,['Fighting'],0.6,12.5,"['Guts', 'Sheer Force, Iron Fist (hidden ability)']",75,260,354,80,148,284,55,103,229,25,49,163,35,67,185,35,67,185,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Timburr/Timburr.png
Ting-Lu,"['Dark', 'Ground']",2.7,699.7,['Vessel of Ruin'],155,420,514,110,202,350,125,229,383,55,103,229,80,148,284,45,85,207,Dark,/content/Pokemon Images DB/Pokemon Images DB/Ting-Lu/Ting-Lu.png
Tinkatink,"['Fairy', 'Steel']",0.4,8.9,"['Mold Breaker', 'Own Tempo, Pickpocket (hidden ability)']",50,210,304,45,85,207,45,85,207,35,67,185,64,119,249,58,108,236,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Tinkatink/Tinkatink.png
Tinkaton,"['Fairy', 'Steel']",0.7,112.8,"['Mold Breaker', 'Own Tempo, Pickpocket (hidden ability)']",85,280,374,75,139,273,77,143,278,70,130,262,105,193,339,94,173,315,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Tinkaton/Tinkaton.png
Tinkatuff,"['Fairy', 'Steel']",0.7,59.1,"['Mold Breaker', 'Own Tempo, Pickpocket (hidden ability)']",65,240,334,55,103,229,55,103,229,45,85,207,82,152,289,78,144,280,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Tinkatuff/Tinkatuff.png
Tirtouga,"['Water', 'Rock']",0.7,16.5,"['Solid Rock', 'Sturdy, Swift Swim (hidden ability)']",54,218,312,78,144,280,103,189,335,53,99,225,45,85,207,22,44,157,Water,/content/Pokemon Images DB/Pokemon Images DB/Tirtouga/Tirtouga.png
Toedscool,"['Ground', 'Grass']",0.9,33.0,['Mycelium Might'],40,190,284,40,76,196,35,67,185,50,94,218,100,184,328,70,130,262,Ground,/content/Pokemon Images DB/Pokemon Images DB/Toedscool/Toedscool.png
Toedscruel,"['Ground', 'Grass']",1.9,58.0,['Mycelium Might'],80,270,364,70,130,262,65,121,251,80,148,284,120,220,372,100,184,328,Ground,/content/Pokemon Images DB/Pokemon Images DB/Toedscruel/Toedscruel.png
Togedemaru,"['Electric', 'Steel']",0.3,3.3,"['Iron Barbs', 'Lightning Rod, Sturdy (hidden ability)']",65,240,334,98,180,324,63,117,247,40,76,196,73,135,269,96,177,320,Electric,/content/Pokemon Images DB/Pokemon Images DB/Togedemaru/Togedemaru.png
Togekiss,"['Fairy', 'Flying']",1.5,38.0,"['Hustle', 'Serene Grace, Super Luck (hidden ability)']",85,280,374,50,94,218,95,175,317,120,220,372,115,211,361,80,148,284,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Togekiss/Togekiss.png
Togepi,['Fairy'],0.3,1.5,"['Hustle', 'Serene Grace, Super Luck (hidden ability)']",35,180,274,20,40,152,65,121,251,40,76,196,65,121,251,20,40,152,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Togepi/Togepi.png
Togetic,"['Fairy', 'Flying']",0.6,3.2,"['Hustle', 'Serene Grace, Super Luck (hidden ability)']",55,220,314,40,76,196,85,157,295,80,148,284,105,193,339,40,76,196,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Togetic/Togetic.png
Torchic,['Fire'],0.4,2.5,"['Blaze, Speed Boost (hidden ability)']",45,200,294,60,112,240,40,76,196,70,130,262,50,94,218,45,85,207,Fire,/content/Pokemon Images DB/Pokemon Images DB/Torchic/Torchic.png
Torkoal,['Fire'],0.5,80.4,"['White Smoke', 'Drought, Shell Armor (hidden ability)']",70,250,344,85,157,295,140,256,416,85,157,295,70,130,262,20,40,152,Fire,/content/Pokemon Images DB/Pokemon Images DB/Torkoal/Torkoal.png
Tornadus Incarnate Forme,['Flying'],1.5,63.0,"['Prankster, Defiant (hidden ability)']",79,268,362,115,211,361,70,130,262,125,229,383,80,148,284,111,204,353,Flying,/content/Pokemon Images DB/Pokemon Images DB/Tornadus (Incarnate Forme)/Tornadus (Incarnate Forme).png
Tornadus Therian Forme,['Flying'],1.4,63.0,['Regenerator'],79,268,362,100,184,328,80,148,284,110,202,350,90,166,306,121,222,375,Flying,/content/Pokemon Images DB/Pokemon Images DB/Tornadus (Therian Forme)/Tornadus (Therian Forme).png
Torracat,['Fire'],0.7,25.0,"['Blaze, Intimidate (hidden ability)']",65,240,334,85,157,295,50,94,218,80,148,284,50,94,218,90,166,306,Fire,/content/Pokemon Images DB/Pokemon Images DB/Torracat/Torracat.png
Torterra,"['Grass', 'Ground']",2.2,310.0,"['Overgrow, Shell Armor (hidden ability)']",95,300,394,109,200,348,105,193,339,75,139,273,85,157,295,56,105,232,Grass,/content/Pokemon Images DB/Pokemon Images DB/Torterra/Torterra.png
Totodile,['Water'],0.6,9.5,"['Torrent, Sheer Force (hidden ability)']",50,210,304,65,121,251,64,119,249,44,83,205,48,90,214,43,81,203,Water,/content/Pokemon Images DB/Pokemon Images DB/Totodile/Totodile.png
Toucannon,"['Normal', 'Flying']",1.1,26.0,"['Keen Eye', 'Skill Link, Sheer Force (hidden ability)']",80,270,364,120,220,372,75,139,273,75,139,273,75,139,273,60,112,240,Normal,/content/Pokemon Images DB/Pokemon Images DB/Toucannon/Toucannon.png
Toxapex,"['Poison', 'Water']",0.7,14.5,"['Merciless', 'Limber, Regenerator (hidden ability)']",50,210,304,63,117,247,152,278,443,53,99,225,142,260,421,35,67,185,Poison,/content/Pokemon Images DB/Pokemon Images DB/Toxapex/Toxapex.png
Toxel,"['Electric', 'Poison']",0.4,11.0,"['Rattled', 'Static, Klutz (hidden ability)']",40,190,284,38,72,192,35,67,185,54,101,227,35,67,185,40,76,196,Electric,/content/Pokemon Images DB/Pokemon Images DB/Toxel/Toxel.png
Toxicroak,"['Poison', 'Fighting']",1.3,44.4,"['Anticipation', 'Dry Skin, Poison Touch (hidden ability)']",83,276,370,106,195,342,65,121,251,86,159,298,65,121,251,85,157,295,Poison,/content/Pokemon Images DB/Pokemon Images DB/Toxicroak/Toxicroak.png
Toxtricity Amped Form,"['Electric', 'Poison']",1.6,40.0,"['Punk Rock', 'Plus, Technician (hidden ability)']",75,260,354,98,180,324,70,130,262,114,209,359,70,130,262,75,139,273,Electric,/content/Pokemon Images DB/Pokemon Images DB/Toxtricity (Amped Form)/Toxtricity (Amped Form).png
Toxtricity Low Key Form,"['Electric', 'Poison']",1.6,40.0,"['Punk Rock', 'Minus, Technician (hidden ability)']",75,260,354,98,180,324,70,130,262,114,209,359,70,130,262,75,139,273,Electric,/content/Pokemon Images DB/Pokemon Images DB/Toxtricity (Low Key Form)/Toxtricity (Low Key Form).png
Tranquill,"['Normal', 'Flying']",0.6,15.0,"['Big Pecks', 'Super Luck, Rivalry (hidden ability)']",62,234,328,77,143,278,62,116,245,50,94,218,42,80,201,65,121,251,Normal,/content/Pokemon Images DB/Pokemon Images DB/Tranquill/Tranquill.png
Trapinch,['Ground'],0.7,15.0,"['Hyper Cutter', 'Arena Trap, Sheer Force (hidden ability)']",45,200,294,100,184,328,45,85,207,45,85,207,45,85,207,10,22,130,Ground,/content/Pokemon Images DB/Pokemon Images DB/Trapinch/Trapinch.png
Treecko,['Grass'],0.5,5.0,"['Overgrow, Unburden (hidden ability)']",40,190,284,45,85,207,35,67,185,65,121,251,55,103,229,70,130,262,Grass,/content/Pokemon Images DB/Pokemon Images DB/Treecko/Treecko.png
Trevenant,"['Ghost', 'Grass']",1.5,71.0,"['Natural Cure', 'Frisk, Harvest (hidden ability)']",85,280,374,110,202,350,76,141,276,65,121,251,82,152,289,56,105,232,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Trevenant/Trevenant.png
Tropius,"['Grass', 'Flying']",2.0,100.0,"['Chlorophyll', 'Solar Power, Harvest (hidden ability)']",99,308,402,68,126,258,83,153,291,72,134,267,87,161,300,51,96,221,Grass,/content/Pokemon Images DB/Pokemon Images DB/Tropius/Tropius.png
Trubbish,['Poison'],0.6,31.0,"['Stench', 'Sticky Hold, Aftermath (hidden ability)']",50,210,304,50,94,218,62,116,245,40,76,196,62,116,245,65,121,251,Poison,/content/Pokemon Images DB/Pokemon Images DB/Trubbish/Trubbish.png
Trumbeak,"['Normal', 'Flying']",0.6,14.8,"['Keen Eye', 'Skill Link, Pickup (hidden ability)']",55,220,314,85,157,295,50,94,218,40,76,196,50,94,218,75,139,273,Normal,/content/Pokemon Images DB/Pokemon Images DB/Trumbeak/Trumbeak.png
Tsareena,['Grass'],1.2,21.4,"['Leaf Guard', 'Queenly Majesty, Sweet Veil (hidden ability)']",72,254,348,120,220,372,98,180,324,50,94,218,98,180,324,72,134,267,Grass,/content/Pokemon Images DB/Pokemon Images DB/Tsareena/Tsareena.png
